Year,Country,Gender,MedalCount
1976,Norway,Men,9
1976,Norway,Women,1
1976,Soviet Union,Men,40
1976,Soviet Union,Women,16
1976,Sweden,Men,2
1976,Switzerland,Men,9
1976,United Kingdom,Men,1
1976,United States,Men,4
1976,United States,Women,7
1976,West Germany,Men,28
1976,West Germany,Women,4
1980,Austria,Men,7
1980,Austria,Women,1
1980,Bulgaria,Men,1
1980,Canada,Men,2
1980,Czechoslovakia,Women,1
1980,East Germany,Men,27
1980,East Germany,Women,12
1980,Finland,Men,9
1980,Finland,Women,3
1980,France,Women,1
1980,Hungary,Men,1
1980,Hungary,Women,1
1980,Italy,Men,3
1980,Japan,Men,1
1980,Liechtenstein,Men,1
1980,Liechtenstein,Women,3
1980,Netherlands,Men,2
1980,Netherlands,Women,2
1980,Norway,Men,11
1980,Norway,Women,5
1980,Soviet Union,Men,41
1980,Soviet Union,Women,13
1980,Sweden,Men,22
1980,Switzerland,Men,7
1980,Switzerland,Women,2
1980,United Kingdom,Men,1
1980,United States,Men,26
1980,United States,Women,4
1980,West Germany,Men,5
1980,West Germany,Women,3
1984,Austria,Men,1
1984,Canada,Men,4
1984,Czechoslovakia,Men,22
1984,Czechoslovakia,Women,6
1984,East Germany,Men,20
1984,East Germany,Women,13
1984,Finland,Men,12
1984,Finland,Women,7
1984,France,Men,1
1984,France,Women,2
1984,Italy,Men,1
1984,Italy,Women,1
1984,Japan,Men,1
1984,Liechtenstein,Men,1
1984,Liechtenstein,Women,1
1984,Norway,Men,8
1984,Norway,Women,7
1984,Soviet Union,Men,46
1984,Soviet Union,Women,10
1984,Sweden,Men,30
1984,Switzerland,Men,6
1984,Switzerland,Women,2
1984,United Kingdom,Men,1
1984,United Kingdom,Women,1
1984,United States,Men,5
1984,United States,Women,4
1984,West Germany,Men,8
1984,Yugoslavia,Men,1
1988,Austria,Men,10
1988,Austria,Women,2
1988,Canada,Men,2
1988,Canada,Women,4
1988,Czechoslovakia,Men,6
1988,East Germany,Men,18
1988,East Germany,Women,14
1988,Finland,Men,28
1988,Finland,Women,6
1988,France,Men,2
1988,Italy,Men,8
1988,Japan,Men,1
1988,Liechtenstein,Men,1
1988,Netherlands,Men,4
1988,Netherlands,Women,3
1988,Norway,Men,7
1988,Norway,Women,4
1988,Soviet Union,Men,52
1988,Soviet Union,Women,15
1988,Sweden,Men,30
1988,Switzerland,Men,13
1988,Switzerland,Women,7
1988,United States,Men,3
1988,United States,Women,4
1988,West Germany,Men,11
1988,West Germany,Women,3
1988,Yugoslavia,Men,5
1988,Yugoslavia,Women,1
1992,Austria,Men,21
1992,Austria,Women,8
1992,Canada,Men,30
1992,Canada,Women,7
1992,China,Women,3
1992,Czechoslovakia,Men,28
1992,Finland,Men,11
1992,Finland,Women,2
1992,France,Men,6
1992,France,Women,6
1992,Germany,Men,22
1992,Germany,Women,16
1992,Italy,Men,14
1992,Italy,Women,7
1992,Japan,Men,10
1992,Japan,Women,2
1992,"Korea, North",Women,1
1992,"Korea, South",Men,7
1992,Luxembourg,Men,2
1992,Netherlands,Men,4
1992,New Zealand,Women,1
1992,Norway,Men,23
1992,Norway,Women,5
1992,Spain,Women,1
1992,Sweden,Men,6
1992,Sweden,Women,1
1992,Switzerland,Men,7
1992,Unified Team,Men,33
1992,Unified Team,Women,27
1992,United States,Men,2
1992,United States,Women,12
1994,Australia,Men,4
1994,Austria,Men,8
1994,Austria,Women,4
1994,Belarus,Men,1
1994,Belarus,Women,1
1994,Canada,Men,30
1994,Canada,Women,10
1994,China,Women,3
1994,Finland,Men,29
1994,Finland,Women,2
1994,France,Men,6
1994,France,Women,5
1994,Germany,Men,26
1994,Germany,Women,14
1994,Italy,Men,20
1994,Italy,Women,13
1994,Japan,Men,9
1994,Japan,Women,1
1994,Kazakhstan,Men,3
1994,"Korea, South",Men,3
1994,"Korea, South",Women,7
1994,Netherlands,Men,4
1994,Norway,Men,27
1994,Norway,Women,7
1994,Russia,Men,16
1994,Russia,Women,20
1994,Slovenia,Men,1
1994,Slovenia,Women,2
1994,Sweden,Men,22
1994,Sweden,Women,2
1994,Switzerland,Men,13
1994,Switzerland,Women,3
1994,Ukraine,Women,2
1994,United Kingdom,Men,2
1994,United Kingdom,Women,1
1994,United States,Men,8
1994,United States,Women,13
1994,Uzbekistan,Women,1
1998,Australia,Women,1
1998,Austria,Men,15
1998,Austria,Women,5
1998,Belarus,Men,2
1998,Belgium,Men,1
1998,Bulgaria,Women,1
1998,Canada,Men,16
1998,Canada,Women,33
1998,China,Men,6
1998,China,Women,8
1998,Czech Republic,Men,22
1998,Czech Republic,Women,2
1998,Denmark,Women,5
1998,Finland,Men,39
1998,Finland,Women,20
1998,France,Men,12
1998,France,Women,3
1998,Germany,Men,19
1998,Germany,Women,25
1998,Italy,Men,10
1998,Italy,Women,7
1998,Japan,Men,11
1998,Japan,Women,2
1998,Kazakhstan,Men,1
1998,Kazakhstan,Women,1
1998,"Korea, South",Men,5
1998,"Korea, South",Women,7
1998,Netherlands,Men,9
1998,Netherlands,Women,2
1998,Norway,Men,32
1998,Norway,Women,12
1998,Russia,Men,33
1998,Russia,Women,20
1998,Sweden,Men,1
1998,Sweden,Women,6
1998,Switzerland,Men,13
1998,Switzerland,Women,1
1998,Ukraine,Women,1
1998,United Kingdom,Men,4
1998,United States,Men,7
1998,United States,Women,27
2002,Australia,Men,1
2002,Australia,Women,1
2002,Austria,Men,18
2002,Austria,Women,2
2002,Belarus,Men,1
2002,Bulgaria,Women,3
2002,Canada,Men,38
2002,Canada,Women,37
2002,China,Men,7
2002,China,Women,9
2002,Croatia,Women,4
2002,Czech Republic,Men,1
2002,Czech Republic,Women,2
2002,Estonia,Men,3
2002,Finland,Men,13
2002,France,Men,9
2002,France,Women,6
2002,Germany,Men,32
2002,Germany,Women,29
2002,Italy,Men,12
2002,Italy,Women,9
2002,Japan,Men,1
2002,Japan,Women,1
2002,"Korea, South",Women,7
2002,Netherlands,Men,6
2002,Netherlands,Women,2
2002,Norway,Men,28
2002,Norway,Women,13
2002,Poland,Men,2
2002,Russia,Men,29
2002,Russia,Women,11
2002,Slovenia,Men,4
2002,Sweden,Men,2
2002,Sweden,Women,24
2002,Switzerland,Men,13
2002,Switzerland,Women,11
2002,United Kingdom,Women,6
2002,United States,Men,53
2002,United States,Women,31
2006,Australia,Men,1
2006,Australia,Women,1
2006,Austria,Men,24
2006,Austria,Women,6
2006,Belarus,Men,1
2006,Bulgaria,Women,1
2006,Canada,Men,21
2006,Canada,Women,47
2006,China,Men,4
2006,China,Women,9
2006,Croatia,Men,1
2006,Croatia,Women,2
2006,Czech Republic,Men,26
2006,Czech Republic,Women,2
2006,Estonia,Men,1
2006,Estonia,Women,2
2006,Finland,Men,40
2006,Finland,Women,3
2006,France,Men,9
2006,France,Women,6
2006,Germany,Men,27
2006,Germany,Women,27
2006,Italy,Men,15
2006,Italy,Women,10
2006,Japan,Women,1
2006,"Korea, South",Men,11
2006,"Korea, South",Women,8
2006,Latvia,Men,1
2006,Netherlands,Men,9
2006,Netherlands,Women,4
2006,Norway,Men,19
2006,Norway,Women,4
2006,Poland,Men,1
2006,Poland,Women,1
2006,Russia,Men,18
2006,Russia,Women,23
2006,Slovakia,Men,1
2006,Sweden,Men,32
2006,Sweden,Women,33
2006,Switzerland,Men,12
2006,Switzerland,Women,10
2006,Ukraine,Men,1
2006,Ukraine,Women,2
2006,United Kingdom,Women,1
2006,United States,Men,24
2006,United States,Women,29
2010,Australia,Men,1
2010,Australia,Women,2
2010,Austria,Men,20
2010,Austria,Women,6
2010,Belarus,Men,2
2010,Belarus,Women,1
2010,Canada,Men,47
2010,Canada,Women,44
2010,China,Men,3
2010,China,Women,17
2010,Croatia,Men,3
2010,Czech Republic,Men,5
2010,Czech Republic,Women,4
2010,Estonia,Women,1
2010,Finland,Men,24
2010,Finland,Women,26
2010,France,Men,6
2010,France,Women,8
2010,Germany,Men,25
2010,Germany,Women,29
2010,Italy,Men,4
2010,Italy,Women,1
2010,Japan,Men,3
2010,Japan,Women,4
2010,Kazakhstan,Women,1
2010,"Korea, South",Men,13
2010,"Korea, South",Women,5
2010,Latvia,Men,3
2010,Netherlands,Men,7
2010,Netherlands,Women,4
2010,Norway,Men,30
2010,Norway,Women,10
2010,Poland,Men,2
2010,Poland,Women,6
2010,Russia,Men,16
2010,Russia,Women,9
2010,Slovakia,Men,1
2010,Slovakia,Women,2
2010,Slovenia,Women,3
2010,Sweden,Men,9
2010,Sweden,Women,10
2010,Switzerland,Men,12
2010,Switzerland,Women,1
2010,United Kingdom,Women,1
2010,United States,Men,60
2010,United States,Women,38
2014,Australia,Men,1
2014,Australia,Women,2
2014,Austria,Men,19
2014,Austria,Women,8
2014,Belarus,Men,1
2014,Belarus,Women,5
2014,Canada,Men,46
2014,Canada,Women,44
2014,China,Men,8
2014,China,Women,5
2014,Croatia,Men,1
